Source,IOC_Url,Fields,Format,ignoreFirstRecord,Target,Exception,Notes
AbuseCHBotnetC2,https://feodotracker.abuse.ch/downloads/ipblocklist.txt,DestIP: string,txt,FALSE,ip,,
AbuseCHBotnetC2IP,https://sslbl.abuse.ch/blacklist/sslipblacklist.txt,DestIP: string,txt,FALSE,ip,,
AbuseCHMD5Malware,https://bazaar.abuse.ch/export/txt/md5/recent/,MD5: string,txt,FALSE,md5,,
BlocklistDE_AllIP,https://lists.blocklist.de/lists/all.txt,DestIP: string,txt,FALSE,ip,,
BlocklistStrongIP,https://lists.blocklist.de/lists/strongips.txt,DestIP: string,txt,FALSE,ip,,
C2IPFeed,https://raw.githubusercontent.com/drb-ra/C2IntelFeeds/master/feeds/IPC2s-30day.csv,"DestIP: string, ioc:string",csv,TRUE,ip,,
C2URLFeed,https://raw.githubusercontent.com/drb-ra/C2IntelFeeds/master/feeds/domainC2swithURLwithIP.csv,"Domain: string, ioc:string, path:string, IP:string",csv,TRUE,domain,"bing.com, baidu.com, jquery.com",
C2URLFeedFilterAbuse,https://raw.githubusercontent.com/drb-ra/C2IntelFeeds/master/feeds/domainC2swithURLwithIP-filter-abused.csv,"Domain: string, ioc:string, path:string, IP:string",csv,TRUE,domain,,
CERT_FR_MISPFeed,https://misp.cert.ssi.gouv.fr/feed-misp/hashes.csv,"SHA1: string, threatid :string",csv,FALSE,sha1,,
DigitalSideDomains,https://osint.digitalside.it/Threat-Intel/lists/latestdomains.txt,Domain: string,txt,FALSE,domain,,
DigitalSideIPs,https://osint.digitalside.it/Threat-Intel/lists/latestips.txt,DestIP: string,txt,FALSE,ip,,
MISPIPSumlevel4,https://raw.githubusercontent.com/stamparm/ipsum/master/levels/4.txt,DestIP: string,txt,FALSE,ip,,
MISPIPSumlevel5,https://raw.githubusercontent.com/stamparm/ipsum/master/levels/5.txt,DestIP: string,txt,FALSE,ip,,
MISPIPSumlevel6,https://raw.githubusercontent.com/stamparm/ipsum/master/levels/6.txt,DestIP: string,txt,FALSE,ip,,
MISPIPSumlevel7,https://raw.githubusercontent.com/stamparm/ipsum/master/levels/7.txt,DestIP: string,txt,FALSE,ip,,
MISPIPSumlevel8,https://raw.githubusercontent.com/stamparm/ipsum/master/levels/8.txt,DestIP: string,txt,FALSE,ip,,
MontySecurityC2AllIPs,https://raw.githubusercontent.com/montysecurity/C2-Tracker/main/data/all.txt,DestIP: string,txt,FALSE,ip,,
ThreatfoxMalwareDomains,https://threatfox.abuse.ch/downloads/hostfile/,LineInfo: string,txt,TRUE,domain,,
TweetfeedLive,https://raw.githubusercontent.com/0xDanielLopez/TweetFeed/master/month.csv,"IOCTimestamp:datetime, TwitterUser:string, IOCType:string, IOC:string, IOCCategory:string, TweetLink:string",csv,FALSE,"url,domain,ip,md5,sha256,sha1",sites.google.com,
ipfs_phishing,https://raw.githubusercontent.com/volexity/threat-intel/main/2023/2023-06-28%20POWERSTAR/attachments/ipfs.txt,DestIP: string,txt,FALSE,ip,,
